what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1354538851538
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354538851538
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1354538851538
java.vm.specification.version,sysinfo,,,"1.7",1354538851538
java.vm.vendor,sysinfo,,,"Oracle Corporation",1354538851538
java.vm.version,sysinfo,,,"23.3-b01",1354538851538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538851545
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1354538851979
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1354538852330
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1354538852760
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1354538853164
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1354538853394
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1354538853425
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1354538854214
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1354538854263
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1354538854283
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1354538854641
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1354538854696
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1354538858820
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1354538860702
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354538860815
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354538861267
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354538861906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538862834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538890662
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354538891302
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538903628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538906763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538908449
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354538909322
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354538910552
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1354538914003
