what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354308979404
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308979464
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308979464
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308980771
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308981806
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308982742
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308991274
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354308992000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309029646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309030168
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309030389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309031440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309031742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309044665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309045045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309045807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309063234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309064074
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309068213
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309083822
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309098038
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309099990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309110034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309118249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309120163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309133203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309138162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309315730
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309318351
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309319607
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309328439
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309329557
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309330377
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309334195
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309341005
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309341792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1354309347271
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354309348161
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309352407
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1354309356584
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309357199
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354309358900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309362866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309363302
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354309364013
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309382589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309405035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309406032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354309412213
