what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.3.201010141144,"org.eclipse.cdt.cross.arm.gnu",1353525737725
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1353525737928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525738586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525781291
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353525788869
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353525791018
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525793915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525804447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525807782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525831615
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1353525833339
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1353525833343
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1353525833395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525836245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525838153
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1353525838187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353525838578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353527015442
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353527016532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353527043791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353527044967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529716924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529717646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529727504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529728043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529799399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529799769
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529800553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353529800793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353531438023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353531439696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533441680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533442273
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533458744
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533460016
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533604326
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533604761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533605680
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533605717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533606909
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1353533607104
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1353533607695
stopped,bundle,com.zylin.embeddedcdt,4.16.1,"com.zylin.embeddedcdt",1353533608139
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1353533608163
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1353533608233
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1353533608274
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1354127904712
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1354127904714
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1354127904771
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1354127904809
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1354127904885
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1354127904894
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1354127904911
started,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1354127904940
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1354127905013
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1354127905048
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1354127905069
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1354127905085
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1354127905102
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1354127905142
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1354127905150
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1354127905169
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1354127905195
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1354127905208
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1354127905231
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1354127905250
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1354127905279
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1354127905327
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1354127905444
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1354127905461
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1354127905480
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1354127905489
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1354127905527
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1354127905582
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1354127905621
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1354127905636
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1354127905662
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1354127905675
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1354127905684
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1354127905686
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1354127905692
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1354127905696
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1354127905740
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1354127905759
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1354127905768
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1354127905787
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1354127905832
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1354127905880
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1354127905889
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1354127905907
