what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1354307135138
started,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.3.201010141144,"org.eclipse.cdt.cross.arm.gnu",1354307135668
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1354307135871
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1354307181683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307183851
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354307184506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307189951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307221026
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1354307222882
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307227115
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307227209
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307229955
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307233823
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307235680
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307236475
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307236631
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307237271
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307244650
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1354307245196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307248378
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307249189
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307250422
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307254478
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307256584
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307257988
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307260655
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307260921
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307260983
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307261326
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307261763
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307261810
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307272777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307274633
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1354307276614
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1354307276708
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307319070
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1354307319101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307326459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307327239
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307328019
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307335039
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307339875
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307347067
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1354307347161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307347348
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1354307347363
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354307347363
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307347363
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307347426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307350374
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307359875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307360951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307362203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1354307362213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307368233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307375752
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307375815
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307375846
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1354307375877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307388825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307391196
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307391274
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307391321
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1354307391321
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307393786
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307393786
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307395783
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1354307395783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307397265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307398825
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307398918
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307398918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307403520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307431713
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1354307431721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307437578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307440878
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307442922
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307451502
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307453015
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307453077
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1354307454887
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307458881
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354307470440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307473311
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307485697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307489847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307586580
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1354307586596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307590340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307591962
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307592040
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.closeAll",1354307592056
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307595285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307596814
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1354307596814
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354307596814
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307604052
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307628498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1354307628513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1354307628513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307629184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307635627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307637733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307717513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1354307717576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307721632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307722380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307722614
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307723472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307725204
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307762681
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354307763337
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307765458
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354307765505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307796457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307797205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307797970
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307798999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307806249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307806888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307807123
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354307807968
