what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559822581
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559822608
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559823101
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354559823103
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354559830989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559831054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559833986
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354559834049
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354559834049
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354559835024
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354559835054
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559838958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559839674
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354559845608
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354559845683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559847980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559849504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559853940
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559859016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354559864662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563741330
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1354563741392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563742093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563743520
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354563744782
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354563745068
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354563745150
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354563780173
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354563780489
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354563781142
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354563781393
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354563781471
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354563782221
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354563782460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563850158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563850630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563851410
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563852114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563852465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563895283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563905365
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563906370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563906876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563909067
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1354563910055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563910449
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354563912740
