what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554385250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554388217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554390576
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554395524
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554396746
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554399791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554400150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554494227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354554495397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555596623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555599013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555600983
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555604886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555608743
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555609060
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555615393
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555617771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555618896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555619241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555620255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555621002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555654437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555658041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555665950
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555671909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555672549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555676231
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555677104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555681519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555682954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555683687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555692439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555693937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555694607
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555695044
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555695543
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555695918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555696511
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555696947
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555697509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555698305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555701627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555703141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555719599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555721533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555722843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555723436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555723467
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555723483
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555723686
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555723842
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555723998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555724169
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555724840
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1354555729957
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354555731813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555745289
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555746695
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555747522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555749955
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555755828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555756725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555757454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555774133
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555776961
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555777898
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555780084
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555782662
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555794735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555798758
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555799288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555804450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354555810073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555813651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555815897
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555834171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555848382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555849974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555851112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555861783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555890754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555892938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555894778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555897992
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354555912469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1354555914044
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555917773
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555918693
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555918834
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1354555918974
